"mz","time","PeakID","Module_RTclust"
1084.23465,35.3,"Peak9971","26_1"
1084.61246,430.1,"Peak9973","47_26"
1084.77444,37.4,"Peak9976","19_1"
1085.11202,436.7,"Peak9978","3_31"
1085.22007,440.9,"Peak9979","30_42"
1085.28086,38.3,"Peak9980","4_1"
1085.64571,364,"Peak9984","17_27"
1085.78088,38,"Peak9985","19_1"
1085.9296,287.7,"Peak9986","21_43"
1086.04454,272,"Peak9987","11_22"
1086.17303,281.2,"Peak9988","6_28"
1086.29478,283.4,"Peak9989","19_19"
1086.42669,287.7,"Peak9990","42_24"
1086.55186,282.4,"Peak9991","19_19"
1086.65336,369.1,"Peak9992","47_20"
1086.74811,38.1,"Peak9993","27_1"
1086.82257,36.8,"Peak9994","37_1"
1087.04937,512.3,"Peak9995","47_29"
1087.05276,32.2,"Peak9996","6_1"
1087.18142,294.2,"Peak9997","28_29"
1087.37107,300.7,"Peak10000","9_27"
1087.6692,368.3,"Peak10002","50_23"
1088.41505,38.6,"Peak10003","19_1"
1088.56431,500,"Peak10004","47_29"
1088.67289,368.4,"Peak10005","50_23"
1089.54206,511.8,"Peak10008","40_37"
1089.67797,368.1,"Peak10010","50_23"
1089.75272,37.4,"Peak10011","19_1"
109.00995,522.2,"Peak109","4_37"
109.02171,394.5,"Peak110","15_33"
109.06418,266.9,"Peak112","2_20"
109.07542,52.7,"Peak113","19_1"
109.08369,531.7,"Peak114","4_38"
109.47834,159.2,"Peak116","15_10"
109.97807,109.7,"Peak118","43_5"
1090.03823,503.9,"Peak10012","47_29"
1090.25583,37.7,"Peak10013","4_1"
1090.63,369,"Peak10016","17_27"
1090.68444,371.1,"Peak10017","50_23"
1090.88181,195,"Peak10018","45_15"
1091.03839,506.9,"Peak10019","19_37"
1091.12691,369,"Peak10020","17_27"
1091.63097,370.4,"Peak10021","17_27"
1091.69912,389.6,"Peak10022","47_22"
1092.12857,368.9,"Peak10023","19_25"
1092.54463,486.5,"Peak10024","47_28"
1092.63333,368.4,"Peak10025","19_25"
1092.70156,388.8,"Peak10026","50_25"
1092.76298,36.5,"Peak10027","19_1"
1093.26135,35.8,"Peak10030","4_1"
1093.54824,492.6,"Peak10031","47_29"
1093.71223,409,"Peak10033","17_30"
1094.06766,575.6,"Peak10035","4_43"
1094.26596,36.5,"Peak10036","26_1"
1094.5464,507.7,"Peak10037","47_29"
1094.71745,411.4,"Peak10039","17_30"
1095.54592,508,"Peak10042","47_29"
1095.72406,412.5,"Peak10044","36_26"
1096.1696,420.1,"Peak10045","47_25"
1096.58111,36.5,"Peak10046","19_1"
1096.66344,36.2,"Peak10048","22_1"
1096.73206,33.3,"Peak10049","19_1"
1096.78009,36.7,"Peak10050","2_1"
1097.17135,422.9,"Peak10054","27_26"
1097.61778,410.8,"Peak10056","3_27"
1097.62465,46.1,"Peak10057","3_1"
1097.74832,40.4,"Peak10058","19_1"
1098.44266,40.5,"Peak10061","42_1"
1098.53208,510.9,"Peak10062","47_29"
1098.60775,496.1,"Peak10063","47_29"
