"","x"
"216.83211_43.4",384
"216.9219_40.6",336
"216.98042_88.9",530
"217.00202_228.1",794
"217.08101_48.9",290
"217.10375_44.5",183
"217.15797_284.6",405
"217.17878_263.6",564
"217.92527_42.3",219
"218.01123_538",974
"218.04641_525.6",392
"218.08487_344.3",663
"218.1179_448.5",3568
"218.13758_252.2",382
"218.15496_197.5",401
"218.91888_39.6",354
"218.96895_74.6",1086
"218.97602_44.6",317
"219.0257_42.8",285
"219.08211_38.6",1042
"219.09265_342.7",275
"219.17344_392.7",291
"219.19451_295.7",1005
"219.94483_398.1",392
"219.99052_541.7",569
"220.0046_91",298
"220.02686_568.6",635
"220.02898_45.8",311
"220.06613_42",258
"220.0961_345.3",256
"220.11713_49.2",408
"220.16881_447.2",294
"220.17548_547.2",186
"220.17739_171",422
"220.9338_38.7",354
"221.0161_209.5",476
"221.02488_47.3",1360
"221.07352_531.7",337
"221.08536_333.8",3439
"221.09123_47.8",492
"221.11637_298.1",177
"221.13748_124.8",1312
"221.15275_288.8",404
"221.93757_53.6",850
"221.96969_569.2",616
"221.99307_498.4",378
"222.01845_420.2",501
"222.03102_49.5",203
"222.16877_232.2",437
"222.86698_42.1",446
"223.01313_244",1947
"223.07355_91.5",289
"223.09538_255.7",437
"223.11633_259.7",463
"223.13188_266.1",426
