"mz","time","rep1","rep2","rep3"
199.9878924,74.93440119,16231.13672,31366.22266,35812.59766
208.0391955,75.41900126,131833.625,88660.26563,71628.45313
105.04224,75.52400208,13152.71973,130950.8125,68330.42969
135.530253,75.61290359,0,10553.95996,3774.302979
171.0342649,75.6280009,20101.40625,14284.14453,10833.79883
189.6066608,75.96119944,27527.03906,19341.36328,13337.48926
119.5554258,76.27649689,0,14669.62109,4694.068848
83.06485784,76.61779785,3296.104248,16948.38477,7503.608887
301.1408908,76.94380061,31927.46094,16162.83496,10451.77148
102.0403526,77.80590057,0,12711.0332,17115.98438
102.0514224,77.83709717,0,5003.328125,6852.091797
83.03999587,77.89860153,2891.860107,15374.53906,7168.427246
414.2695845,77.91740036,11358.2666,9078.186523,7488.97998
338.3416499,77.95160039,34291.58203,6234.860352,8962.957031
102.5322975,77.95436478,47884.71094,29582.30664,38259.76953
242.2838782,78.1708018,5587.024414,2553.156982,2481.786133
102.0527247,78.27920024,5014.854004,6721.932129,6336.000488
105.0422502,78.92700195,13152.71973,138613.7969,68330.42969
167.9982763,79.76980082,9325.56543,2398.828369,6812.914551
169.0932751,80.56479899,8301.350586,4331.061035,5397.229004
102.0486505,80.70000076,0,5318.719238,7892.43457
130.5332111,81.73673503,88110.76563,60396.84766,70511.57031
207.9850802,82.10980225,41539.97656,18258.86523,29238.58789
110.0296279,82.67009735,8229.966797,0,5698.241699
190.5404404,82.73069763,24541.83594,0,1264.30188
394.3528335,82.96480052,2230.334717,7651.905762,3594.692871
191.1639644,83.6058019,2736.563477,9588.635742,5050.133789
114.5582966,84.01399994,168664,116475.8516,144230.7969
221.0166709,84.6695989,17359.34766,5398.905273,6510
282.2789822,85.1778005,12425.25195,5756.277344,5638.527832
130.5332291,86.03780111,87533.03125,58588.875,73626.02344
283.263055,87.38129807,8946.836914,0,2446.464111
102.0175436,88.13640213,0,3476.067383,5665.076172
151.0351405,88.84720103,89489.15625,133039.2969,109664.5391
256.2632627,88.84720103,8204.904297,3196.206787,6114.220215
105.0422515,89.7154007,11127.95117,138613.7969,63562.19531
102.0514432,90.3572998,0,4469.731445,6189.51416
255.2316401,90.50640106,5368.050781,0,1628.32251
130.5332235,91.37906647,94836.83594,61953.75,73626.02344
526.4311945,93.23249817,0,5746.620117,1986.361694
102.0410465,95.54820251,0,8794.999023,12009.53418
130.0078191,96.53546651,8633.761719,6984.998047,6592.341309
110.0274823,100.6307322,9100.951172,5066.415527,7412.830566
283.262971,100.6806984,8182.344238,0,2418.477295
130.5215644,104.7060674,46653.99219,10052.06543,19967.60156
110.0158918,106.8700027,0,7551.61377,9414.996094
242.2839556,106.9413325,7438.805664,13702.70605,14054.33008
79.07603449,113.5714989,0,25251.04492,23323.46875
137.0132922,114.5225029,0,4046.670898,8019.399414
137.0132835,127.0084991,0,5498.578613,8252.289063
180.0379465,129.4664993,0,9524.886719,10973.56445
283.2630383,129.717336,7357.927734,1559.914185,2182.905518
158.9612448,131.2713318,1937.24939,8228.09375,4019.839355
242.283928,132.7076645,5200.310059,14935.72949,17108.70898
178.0398043,133.2724991,0,19258.83789,31232.38477
137.013304,133.6035004,0,5498.578613,7750.284668
180.0379603,139.8409958,0,9814.624023,11921.18359
301.1409643,144.8050028,9958.6875,1562.774902,2036.661133
178.039824,151.0125046,0,18370.60547,28115.16016
79.07603558,153.0784988,0,68991.08594,26268.96094
151.0350344,176.8476664,6129.661133,12600.18066,10061.25391
283.2630443,179.718338,6400.381348,1559.914185,2278.156982
79.07603012,180.1339951,0,91534.85938,21481.70898
110.0172757,188.0159988,9114.758789,3790.920166,0
79.07602693,197.6735001,0,83710.23438,20862.92578
151.0350016,199.3650004,3399.861816,6621.867676,5427.660645
180.0379474,208.4550018,560.8587036,5271.452637,9575.124023
178.0397839,215.1180038,0,10626.72949,17667.10742
95.04381415,226.1676636,4893.130371,5680.695801,5913.757324
110.0172567,227.2324982,9975.835938,2900.631592,0
412.1294745,236.0350037,12321.79004,6285.768555,3722.245361
411.1260752,237.517334,62847.07813,25147.65234,17223.03711
178.0397465,238.5929947,0,7782.12793,12211.85645
445.0694859,250.7003326,8357.808594,2447.267578,4404.22998
283.2630523,252.7450002,6098.154785,1637.449951,1445.649292
478.0405774,253.4669952,6511.973633,864.3215332,5104.12207
383.0948177,255.2619934,896951.5,376813.9688,400881.0625
384.0980687,255.7869924,204898.4063,74767.6875,83959.58594
383.1219159,255.8333333,7636.787598,3986.446777,3072.810059
385.0907058,257.4993337,34729.50781,13285.49609,11943.65137
281.5503886,258.0743256,9100.612305,3207.847168,6961.098145
383.1381575,259.2794952,5208.06543,0,1716.924683
386.0938244,260.302002,7014.633301,2725.416016,2975.843018
449.1490864,262.9029999,10778.52539,0,2240.383545
307.0633954,264.6440125,5676.788086,0,800.6801147
283.2630216,266.5126648,6219.480957,1637.449951,1316.993774
184.9853515,270.008667,7367.336914,11736.93457,14721.95117
178.0397798,270.7685089,0,6563.21582,6548.091797
369.0790583,275.9366659,10113.20898,2739.951904,4139.709961
203.0547805,282.3773295,5621.915527,1502.967896,3228.26123
185.044281,282.4763387,16162.4707,1500.700806,4521.903809
382.022979,288.135498,25914.30859,0,16221.76465
355.1200796,288.9064941,12278.65332,0,3670.69751
559.0514787,289.7549896,13479.81543,0,6423.485352
407.6559426,289.8695068,25963.66797,0,12544.47363
661.2931906,289.8695068,6649.867676,0,889.6514282
700.3124589,289.8695068,12666.97754,0,2574.187744
258.5485118,290.120341,12325.94531,5147.714844,6814.018066
238.0352498,290.1499939,5460.004883,1863.040161,4147.232422
382.5244909,290.4375,10863.66309,0,7189.007813
355.0124562,290.5899963,11943.26855,0,3794.891602
700.6731621,290.6490021,5345.290039,0,2501.493408
659.286432,290.6985016,79112.57813,0,14876.13574
660.289879,290.6985016,25585.4043,0,4322.344727
559.553167,291.201004,8069.078125,0,4091.51709
354.9945087,291.3549957,7943.592773,0,3165.5896
354.9766007,291.4199982,6256.67627,0,2264.032471
654.3310599,291.4199982,119215.3047,0,23383.26953
655.3343235,291.4199982,40654.48828,0,8531.308594
544.1589271,291.4779968,7260.538574,0,2344.724854
639.310983,291.4779968,25933.3418,0,7269.378906
408.1575127,291.5270081,14195.93066,0,6063.609863
700.1712653,291.5270081,5466.213379,0,1891.920898
245.5227084,291.5736694,7444.616211,2485.271973,3987.883301
355.1785787,292.1849976,5403.747559,0,1584.854614
402.5364567,292.2286682,40703.40234,1566.01123,22900.1582
553.389574,292.2489929,38461.19141,0,4072.936523
637.3045908,292.2489929,445463.4688,0,99831.92969
638.3080381,292.2489929,145856.75,0,31717.97656
656.3370475,292.2489929,7651.069336,0,2260.955811
403.0382199,292.8089905,18250.53125,0,12752.77441
387.1425666,293.0774994,10837.5957,0,3894.898193
355.0634936,293.1756694,2846622.25,741155.3125,1037588.625
356.0667096,293.7290039,607876.6875,142463.9844,208906.0938
357.068986,293.7769979,51881.62891,12094.26367,17060.42188
353.0478847,293.8093363,18085.30859,4774.936523,6316.398438
357.0592629,294.2816671,108431.6797,26944.88281,36492.99219
991.357129,294.473999,35978.46875,0,4802.23584
